StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
39,39E,"He et al., 2024",2024,"Jining City, Shandong Province, China","33°02_N, 116°23_E",33.033333,La20-40,116.383333,Lo-0-180,67.91666412,MAP600-1200,15.30000019,MAT15,,Garlic,"Garlic, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Amaryllidaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Vegetative stage,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D5-10,D10-20,,10,2,R2,20,V5-V7,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,8,8,-0.175377977,0.022016045,,,,,7.63,0.00522877,,1.231,-0.131792161,,NA,NA,,0.88,-0.011428696,,3.09,-0.415221283,,12.08,0.141775462,,12.78,-0.11602402,,NA,NA,,NA,NA,,NA,NA
39,39F,"He et al., 2024",2024,"Jining City, Shandong Province, China","33°02_N, 116°23_E",33.033333,La20-40,116.383333,Lo-0-180,67.91666412,MAP600-1200,15.30000019,MAT15,,Garlic,"Garlic, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Amaryllidaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Vegetative stage,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D10,D20-30,,15,2,R2,30,V5-V7,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,8,8,-0.365225114,0.022030002,,,,,7.63,-0.006574646,,1.231,0.073585612,,NA,NA,,0.88,0.204794413,,3.09,-0.232083066,,12.08,0.049263089,,12.78,0.185186515,,NA,NA,,NA,NA,,NA,NA
41,41C,"Hong et al., 2020",2020,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Chilli pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-1.761981018,0.089390735,,,,,5.442105263,0.228929488,,0.587006961,0.083381609,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,196.65,-0.21851406,,112.58,0.728961097,,NA,NA,,NA,NA
41,41D,"Hong et al., 2020",2020,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Chilli pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.614357334,0.103175259,,,,,4.526315789,0.285353783,,0.516821346,0.293557037,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,259.57,0.067659009,,144.49,0.026768413,,NA,NA,,NA,NA
42,42AA,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-1.390511896,0.114046045,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42AB,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.416456948,0.214974443,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42AC,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-0.453076041,0.041395897,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42AD,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.15880346,0.05127813,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42AE,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-1.010975991,0.194790287,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42AF,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-0.299657536,0.163444032,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42Q,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,-1.526017429,0.075029196,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42R,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,-1.228366399,0.088516143,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42S,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,-0.248750774,0.05935206,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42T,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,-0.580017939,0.049900777,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42U,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,-0.396861155,0.09486501,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42V,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,0.219391532,0.073577851,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42W,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,0.514546823,0.037569894,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42X,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,2,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,4,4,0.638728353,0.057458891,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42Y,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-0.754996965,0.116329535,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
42,42Z,"Hong et al., 2023",2023,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,La20,108.733333,Lo-0-180,103.83334,MAP1200,25.508333,MAT15,,Banana,"Eggplant, Banana",Eggplant,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,1.191829492,0.112403472,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
45,45A,"Huang et al., 2022",2022,"located at Gaocang Stree Hongta District, Yuxi City, Yunnan Province","24°30_N, 103°32_E",24.5,La20-40,103.53333,Lo-0-180,78.41666412,MAP600-1200,15.96666622,MAT15,,Tobacco,"Marigold, Tobacco",Marigold,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Asteraceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Vegetative stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1,D5,,1,2,R2,2,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,1.567805546,0.190718525,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
46,46D,"Jiang et al., 2022",2022,"Yunnan Academy of Tobacco Agricultural Sciences’ Research Station in Yuxi, Yunnan, China","24°14_N, 102°30_E",24.233333,La20-40,102.5,Lo-0-180,75.58333588,MAP600-1200,16.80833244,MAT15,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,No_Fertilizer,D5-10,D10-20,,6,2,R2,12,V4-V5,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.721434754,0.089787929,,,,,7.3,-0.070951736,,0.587209302,0.297534369,,NA,NA,,0.058,0.666944808,,NA,NA,,NA,NA,,18,1.284015512,,NA,NA,,18,1.284015512,,49.4071,-0.484507448
46,46E,"Jiang et al., 2022",2022,"Yunnan Academy of Tobacco Agricultural Sciences’ Research Station in Yuxi, Yunnan, China","24°14_N, 102°30_E",24.233333,La20-40,102.5,Lo-0-180,75.58333588,MAP600-1200,16.80833244,MAT15,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D5-10,D10-20,,6,2,R2,12,V4-V5,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,1.477170487,0.072576762,,,,,6.7,-0.030305349,,0.622093023,0.194705616,,NA,NA,,0.055,0.637057714,,NA,NA,,NA,NA,,38,0.926762032,,NA,NA,,38,0.926762032,,90.9091,0.193135276
46,46F,"Jiang et al., 2022",2022,"Yunnan Academy of Tobacco Agricultural Sciences’ Research Station in Yuxi, Yunnan, China","24°14_N, 102°30_E",24.233333,La20-40,102.5,Lo-0-180,75.58333588,MAP600-1200,16.80833244,MAT15,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D5-10,D10-20,,6,2,R2,12,V4-V5,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.233146035,0.163642726,,,,,7,-0.028987537,,0.691860465,0.162518929,,NA,NA,,0.076,0.146603474,,NA,NA,,NA,NA,,35,0.73511138,,NA,NA,,35,0.73511138,,85.3755,0.567521659
62,62C,"Lin et al., 2023",2023,"Agricultural Science Center Community Sugar Beet Research Institute, City of Shihezi, Xinjiang autonomous region","86°03_E, 44°19_N",44.316667,La40,86.05,Lo-0-180,12.58333302,MAP600,9.058333397,MAT8-15,,Sugar beet,"Winter wheat, Sugar beet",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Amaranthaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Medium,Unknow,Unknow,Unknow,D10,D30,,17,2,R2,34,V4,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,0.402245467,0.178230897,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
62,62D,"Lin et al., 2023",2023,"Agricultural Science Center Community Sugar Beet Research Institute, City of Shihezi, Xinjiang autonomous region","86°03_E, 44°19_N",44.316667,La40,86.05,Lo-0-180,12.58333302,MAP600,9.058333397,MAT8-15,,Sugar beet,"Winter wheat, Sugar beet",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Amaranthaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Rhizosphere,Medium,Unknow,Unknow,Unknow,D10,D30,,17,2,R2,34,V4,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-1.09916653,0.155307499,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
62,62G,"Lin et al., 2023",2023,"Agricultural Science Center Community Sugar Beet Research Institute, City of Shihezi, Xinjiang autonomous region","86°03_E, 44°19_N",44.316667,La40,86.05,Lo-0-180,12.58333302,MAP600,9.058333397,MAT8-15,,Sugar beet,"Winter wheat, Sugar beet",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Amaranthaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D10,D30,,17,2,R2,34,V4,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-0.62342537,0.140631349,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
62,62H,"Lin et al., 2023",2023,"Agricultural Science Center Community Sugar Beet Research Institute, City of Shihezi, Xinjiang autonomous region","86°03_E, 44°19_N",44.316667,La40,86.05,Lo-0-180,12.58333302,MAP600,9.058333397,MAT8-15,,Sugar beet,"Winter wheat, Sugar beet",Wheat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Amaranthaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D10,D30,,17,2,R2,34,V4,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,3,3,-1.429953201,0.11436432,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
63,63A,"Liu et al., 2024 (a)",2024,"Hailun Agricultural Ecological Experimental Station of the Chinese Academy of Sciences in Hailun City, Heilongjiang Province","47°27_N, 126°41_E ",47.45,La40,126.68333,Lo-0-180,42.83333206,MAP600,2.291666508,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Tillage,No_retention,No_Fertilizer,D5-10,D5-10,,10,2,R2,10,V4-V5,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,5,5,-0.579264874,0.056909099,,,,,6.064285714,0.003136028,,2.908141742,-0.181415349,,NA,NA,,0.159341772,-0.1917077,,NA,NA,,NA,NA,,20.86956522,-0.0104713,,NA,NA,,NA,NA,,NA,NA
63,63B,"Liu et al., 2024 (a)",2024,"Hailun Agricultural Ecological Experimental Station of the Chinese Academy of Sciences in Hailun City, Heilongjiang Province","47°27_N, 126°41_E ",47.45,La40,126.68333,Lo-0-180,42.83333206,MAP600,2.291666508,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Tillage,No_retention,Fertilizer,D5-10,D5-10,,10,2,R2,10,V4-V5,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,5,5,0.202431653,0.067613602,,,,,5.873809524,0.044011067,,2.591752795,0.10010768,,NA,NA,,0.151063291,0.090775025,,NA,NA,,NA,NA,,61.84782609,-0.191147739,,NA,NA,,NA,NA,,NA,NA
63,63C,"Liu et al., 2024 (a)",2024,"Hailun Agricultural Ecological Experimental Station of the Chinese Academy of Sciences in Hailun City, Heilongjiang Province","47°27_N, 126°41_E",47.45,La40,126.68333,Lo-0-180,42.83333206,MAP600,2.291666508,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Tillage,Retention,Fertilizer,D5-10,D5-10,,10,2,R2,10,V4-V5,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,5,5,0.461026002,0.059463879,,,,,5.71031746,0.007477188,,3.393271462,-0.074167743,,NA,NA,,0.182278481,-0.021904835,,NA,NA,,NA,NA,,83.80434783,-0.678980814,,NA,NA,,NA,NA,,NA,NA
63,63D,"Liu et al., 2024 (a)",2024,"Hailun Agricultural Ecological Experimental Station of the Chinese Academy of Sciences in Hailun City, Heilongjiang Province","47°27_N, 126°41_E",47.45,La40,126.68333,Lo-0-180,42.83333206,MAP600,2.291666508,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Tillage,No_retention,No_Fertilizer,D5-10,D5-10,,10,2,R2,10,V4-V5,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,-0.992332487,0.102703926,,,,,6.064,0.003292726,,2.90487239,-0.182161825,,NA,NA,,0.15938,-0.193045182,,1.471,-0.423644309,,6.813,0.066984888,,21.33426942,-0.00984414,,150.7584553,-0.123648771,,NA,NA,,NA,NA
63,63E,"Liu et al., 2024 (a)",2024,"Hailun Agricultural Ecological Experimental Station of the Chinese Academy of Sciences in Hailun City, Heilongjiang Province","47°27_N, 126°41_E",47.45,La40,126.68333,Lo-0-180,42.83333206,MAP600,2.291666508,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Tillage,No_retention,Fertilizer,D5-10,D5-10,,10,2,R2,10,V4-V5,ITS2,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,-0.061823401,0.069697471,,,,,5.872,0.043977773,,2.588167053,0.100958191,,NA,NA,,0.1511,0.090666722,,3.3,0.472840511,,7.411,0.125861384,,61.98227838,-0.195401534,,131.146194,0.033645518,,NA,NA,,NA,NA
